"filename", "language", "TypeScript", "JSON with Comments", "HTML", "JSON", "vue", "SCSS", "XML", "Java", "Java Properties", "Shell Script", "MS SQL", "Batch", "Markdown", "PlantUML", "comment", "blank", "total"
"e:\AdmitGenius\frontend\src\assets\styles\main.scss", "SCSS", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 150
"e:\AdmitGenius\frontend\src\config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 55
"e:\AdmitGenius\frontend\src\config\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\AdmitGenius\frontend\src\env.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"e:\AdmitGenius\frontend\src\layouts\AuthLayout.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 183
"e:\AdmitGenius\frontend\src\layouts\MainLayout.vue", "vue", 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42, 314
"e:\AdmitGenius\frontend\src\main.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 35
"e:\AdmitGenius\frontend\src\router\guards.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 77
"e:\AdmitGenius\frontend\src\router\index.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 160
"e:\AdmitGenius\frontend\src\stores\auth.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 157
"e:\AdmitGenius\frontend\src\stores\mockAuth.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 139
"e:\AdmitGenius\frontend\src\types\api.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\AdmitGenius\frontend\src\types\essay.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 94
"e:\AdmitGenius\frontend\src\types\index.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 25, 258
